Title,Code,Term,Description,Learning Outcomes,Module Content,Prerequisites,Lecturer
Bioengineering Science 1,BIOE40001,"Autumn,Spring","This module aims to provide you with a fundamental understanding of the chemistry and materials science principles related to Bioengineering including:How material properties are governed by their structure at different length scales - from sub-atomic to macroscale.The foundations of classical thermodynamics and applications in biomedical engineering and molecular sciencesChemical kinetics, Fick's laws and steady state diffusion.","At the end of this module you will be able to:Describe the formal framework of classical thermodynamics, the laws of thermodynamics and Fick's laws of diffusionFormulate and solve thermodynamic equations exploiting calculus including partial and total differentials and their properties.Explain how thermodynamic and chemical kinetics concepts can be applied to problems in biomedical engineeringUse fundamental concepts of chemical kinetics to derive simple rate laws and relate these to experimental data.Draw the electronic structure of an atom and simple molecules and explain how this relates to bonding and material properties for materials not necessarily covered by the module.Understand the concepts of material properties and how these might be measured or calculated from given data.Describe and differentiate between elastic and plastic behaviour of materials and different failure modes"," This module will cover the following topics:ThermodynamicsIncorporating:Energy, heat, and work, their units and sign conventions and including examples of the role of thermodynamics in biomedical engineering.The laws of thermodynamics, and the energy laws.Heat capacity, Enthalpy and Entropy.Free energy equations, Pressure\/temperature dependence and chemical potential.Molecular Forces and MotionIncorporating:Different types of solutions and intermolecular forces.Gas solubility laws, Empirical rate laws and experimental approaches to their determination.Kinetics and Diffusion.Electron structure, atomic arrangement and various types of bonding.Crystalline structures and organic molecules.MaterialsIncorporating:Material classification and defining material properties.Mechanical testing of material properties.Metals, ceramics and composites. ",N/A,"Ben Almquist, Danny O'Hare"
Bioengineering Science 2,BIOE50001,Spring,"In this module you will build on the content of Bioengineering Science 1 by extending the principles of thermodynamics and introducing the topics of transport phenomena, focusing on heat and mass transport in the context of biomedical engineering. This module will also introduce you to some models relevant to the Fluid and Solid mechanics module.","At the end of this module students will be able to:&nbsp;Describe the physical factors governing heat and mass transport Explain the basic equations of heat and mass transfer.Analyze transport-related processes using advanced mathematics, dimensional analysis, and scaling.Formulate, manipulate and solve equations governing heat and mass transport, to simplify these equations and to understand in what circumstances the simplified equations can be representative of real systems.&nbsp;Discuss how transport processes and models are applicable to familiar and unfamiliar biomedical engineering systems"," Introduction to the basic concepts and quantities of heat and mass transport, relationship to thermodynamics and fluid mechanics, description of units and dimensions, and the different modes of heat and mass transferConcepts and definitions of control volume analysis, Eulerian and Lagrangian reference frames, and the material derivativeReynolds Transport Theorem, with relationship to the integral forms of conservation lawsThe divergence theorem and the differential form of the conservation laws1-dimensional conduction and diffusion, the role of boundary conditions, analogy to electrical resistances and circuit diagramsTransient conduction and diffusion using the lumped-capacitance method, and conduction\/diffusion through semi-infinite solids, using the error functionConvective heat and mass transport, boundary layers, and relevant dimensionless numbers ",Bioengineering Science 1 - Prerequisite,"Choon Hwai Yap, Sam Au"
Biomaterials for Bioengineers,"BIOE60034,BIOE70033",Autumn,"This module will introduce major classes of biomedical implant materials including metals, ceramics and polymers. We will focus of how these classes of materials have been used clinically to replace body parts or tissues within the body as implanted devices, the types and reasons for failure and introduce biomaterials as tissue engineering constructs to regenerate diseased tissues to restore organ function.","On successful completion of this module at level 6, you will be able to:Identify various tissues and organs within the human body and explain the effects of ageing and disease on the structure and mechanical properties of these tissues.&nbsp;Describe the major classes of biomedical implant materials, their basic properties, means of fixation, stability and advantages and disadvantages when used as implant devices.Explain the types of failure of implants and devices in various clincial applications and reasons for failure.&nbsp;Describe the physiological principles involved in the replacement of various parts of the body with artificail organs, transplants or tissue engineered constructs and the clinical compromises involved.Defend the relative merits of replacing a body part with a tissue engineering construct, discuss the principles involved in growing tissues in vitro and describe the physiological and clinical limitations involved.Be capable of rapidly researching the literature for new developments in replacement of tissues and organs.Be able to communicate alternative means to repair or replace parts of the body to both healthcare professionals and patients.On successful completion of this module at level 7, you will be able to:Differentiate various tissues and organs within the human body and explain the effects of ageing and disease on the structure and mechanical properties of these tissuesDescribe and compare the major classes of biomedical implant materials, their basic properties, means of fixation, stability and advantages and disadvantages when used as implant device;Determine the types of failure of implants and devices in various clinical applications and reasons for failureJustify the physiological principles involved in the replacement of various parts of the body with artificial organs, transplants or tissue engineered constructs and the clinical compromises involved.Critically discuss the principles involved in growing tissues in vitro and describe the physiological and clinical limitations involved;Defend the relative merits of replacing a body part with a tissue engineering construct;Conduct an effective and critical literature search on new developments in replacement of tissues and organs.Professionally communicate alternative means to repair or replace parts of the body to both healthcare professionals and patients."," This module will introduce major classes of biomedical implant materials including metals, ceramics and polymers. We will focus on how these classes of materials have been used clinically to replace body parts or tissues within the body as implanted devices, the types and reasons for failure and introduce biomaterials as tissue engineering constructs to regenerate diseased tissues to restore organ function. ",N/A,"Adam Celiz, Naomi Nakayama"
Biomaterials for Biomedicine and Sustainability,BIOE70056,Autumn,"Biomaterials shape our lives through food, textile, built environment, and medicine. This module will showcase the frontiers of biomaterials research and innovation, which are closely linked to tissue engineering in regenerative medicine and beyond. Biomaterials are materials that are synthesized by living organisms, or ones that interact with biological cells and tissues. The pioneering development of new biomaterials will be explored, highlighting their functionalities in various fields of application and diving into their synthesis via state-of-art technology, such as synthetic biology and chemistry and biomimetic engineering.","Upon successful completion of this module, you will be able to:Analyse diverse ranges of biomaterials and their synthesis and functional characterization, as well as examples of applicationsSynthesize and analyse the principles of how biological systems construct their own structure, which in turn sense and respond to the structural environmentEvaluate the technology and analysis platforms that are used in major classis of biomaterial research and innovationConceive and creatively and critically design next-generation biomaterialsCollaborate with peers in project ideation, development, and communicationCritically assess the capacity, potential, and limitation of a new bioengineering technologyAssess material cycle and roles biomaterials play in sustainable biotechnology and circular economy"," The module will be taught over one term using a combination of lectures, study groups, and guest lectures. Study groups will complement the taught content from lectures and allow students to assess their understanding while encouraging in-depth and critical consideration of research and innovation in the engineering of new biomaterials.Contents include:Biosynthesis of structural materials in animal, plant, and fungal systems, as well as in biofilmsEmerging biomaterials in regenerative medicine, neural interface, living architecture, food\/farming, textile and designDesign principals of biomaterials (e.g. organic polymer, cellular solid, functional surface, hierarchical composite, hydrogel, toughness)Synthetic biology and chemistry of biomaterial generation and degradationBiomimetic materials ",N/A,"Naomi Nakayama, Adam Celiz"
Biomechanics,"BIOE60014,BIOE70029",Autumn,"BIOE60014: This is an introductory module, whose goal is to introduce students to a range of topics in biomechanics. Topics include kinematics and kinetics of human locomotion, bone and soft tissue failure, macro- and micro-circulatory mechanics in various organs, and practical approaches to quantifying biomechanics.BIOE70029: This module will build on your knowledge and understanding of mechanics achieved in your undergraduate degree by introducing you to the application of mechanics to the human body. Topics include kinematics and kinetics of human locomotion, methods for analysing gait, macro- and micro-circulatory mechanics in various organs, and practical approaches to quantifying and controlling biofluid flows.","Upon successful completion of this module at Level 6, you will be able to:Describe how mechanics plays a role in basic physiological processes in the human bodyEmploy kinematic and kinetic principles to describe human locomotionExplain the differences between macro and microcirculatory flowsDemonstrate understanding of mass and fluid transport mechanisms in physiologyApply the principles of mechanics to the analysis of biological systemsAssess and identify the key engineering features of complex problems involving living systemsJudge the most appropriate problem-solving approach for biomechanical investigationsAnalyse and interpret raw data, e.g. motion analysis outputs and experimental flow fieldsUpon successful completion of this module you will be able to:Evaluate how mechanics plays a role in basic physiological processes in the human bodyEmploy kinematic and kinetic principles to describe human locomotionContrast macro and microcirculatory flowsAccurately apply mathematical models of mass and fluid transport mechanisms to physiological systemsCrtically apply the principles of mechanics to the analysis of biological systemsAssess the key engineering features of complex problems involving living systemsJudge the most appropriate problem-solving approach for biomechanical investigationsAnalyse and interpret raw data, e.g. motion analysis outputs and experimental flow fields using appropriate computational tools.&nbsp;", Biosolid MechanicsKinematics of human motionKinetics of human motionGaitMusculoskeletal modellingApplications of motion analysisBiofluid MechanicsFlow in large vesselsBlood rheologyMicrocirculationMass and fluid transport through tissuesFlow in specific organsMeasurements and modelling of biofluidsApplications of biofluids ,"Lecture material will presume fundamental knowledge covered in the following modules: Mechanics I, Solid Mechanics 2 and Fluid Mechanics 2, or equivalent. Students should have competence in fundamental mathematics and solid and fluid mechanics. Students without these prerequisites should speak to the lecturers to determine if their background is suitable. Students should also have basic experience with MATLAB or equivalent coding experience (e.g. indexing, loops, conditional statements).","Angela Kedgley, Joseph van Batenburg-Sherwood"
Biomedical Advanced and Computational Stress Analysis,"BIOE60002,BIOE70031",Spring,"BIOE60002: In this module you will have the opportunity to explore advanced topics in mechanical drawing, stress analysis, and finite element simulation, including nonlinear material models. These topics will be taught in the context of biomedical applications in order for you to obtain the ability to design and analyse designs for the manufacture of biomedical and other devices.At the end of the module you should have all the necessary tools and methods to be a stress analysis engineer in the biomedical\/mechanical engineering industryBIOE70031: This module will build on your knowledge and understanding of mechanics achieved in your undergraduate degree. In this moudle you will have the opportunity to explore advanced topics in mechanical drawing, stress analysis, and finite element simulation, including nonlinear material models. These topics will be taught in the context of biomedical applications in order for you to obtain the ability to design and analyse designs for manufacture of biomedical and other devices.At the end of the module you should have all the necessary tools and methods to be a stress analysis engineer in the biomedical \/ mechanical engineering industry","By the end of the module at Level 6, you will be able to:Analyse a specific stress analysis problem to define appropriate measures of stress and strainFormulate the appropriate failure analysis for a given problemRecognise and apply appropriate material models (nonlinear over linear)Evaluate and compare 2D and 3D stress and strain states in mechanical partsInterpret 2D mechanical drawings and visualise into 3D objectsFormulate a simple, well-posed stress analysis problem using finite element analysisDesign mechanical parts for manufacturingUpon successful completion of this module at level 7, you will be able to:Analyse a specific stress analysis problem to define appropriate measures of stress and strain.Formulate the appropriate failure analysis for a given problemRecognise and apply appropriate material models (nonlinear over linear)Evaluate and compare 2D &amp; 3D stress and strain states in mechanical parts.Interpret 2D mechanical drawings and visualise into 3D objects.Formulate a simple, well-posed stress analysis problem using finite element analysisDesign mechanical parts for manufacturing."," Mechanical drawing cuts, views, dimensioning, drawing for manufacturingRecap on Solid Mechanics topicsStress analysis of complex structures and machine elements (eg bolts)Introduction to finite element analysisNonlinear material models (true stress and strain, plasticity, viscoelasticity, strain energy functions; plastics, rubbers, soft tissues) ","Design and Professional Practice 2 - PrerequisiteMathematics 2 - PrerequisiteFluid and Solid Mechanics 2 - PrerequisiteMatrix Algebra, vector calculus, OD&amp;PDEs, numerical methods, Taylor series",Spyros Masouros
Biomedical Instrumentation,BIOE60003,Spring,In this module you will develop your understanding of electronics components and systems architecture and how these are used in different types of biomedical instrumentation. You will then use this knowledge during a pratical task to develop an instrument prototype following a set of bioengineering\/biomedical specifications.,"Upon successful completion of this module you will be able to:Analyse the operation and criticise the limitations of a library of linear and non-linear signal conditioning circuits (e.g. HWR, FWR, detectors, diff. amplifiers, instrumentation amplifiers, filters etc.).Judge how individual block choices and limitations affect system-level performance.Assess the role of noise in a practical system.Solve a basic instrumentation problem by designing a practical system-level architecture with appropriately tailored building blocks whose limitations are well-understoodAnalyse how building-block non-idealities affect system-level performance.Assemble an instrument prototype.Use measurement equipment in an electronics lab effectively."," In this module you will learn about:Op-Amps: Non-idealitiesFilters: theory, op-amp-based active-RC filter realisation, first-order filters and their properties, second-order filters and their properties, higher-order filters and their propertiesLinear Circuits for instrumentation: differential amplifiers and conditions for optimal performance, instrumentation amplifiers and applications, bridge amplifiersNon-linear Circuits for instrumentation: half-wave-rectifier, full-wave-rectifier, peak-detector, voltage-level detector with independent adjustment of hysteresis and centre voltage; comparators: application to ECG, AC-DC converters; log-antilog amplifiersNoise: its nature and properties; basic calculations; the noise of electronic components; linearity assessment of a gain stage and concept of distortion; dynamic range ",Mechanics and Electronics 1 - PrerequisiteElectronics and Electromagnetics 2 - Prerequisite,"Firat Guder, Juan Alvaro Gallego, Majid Taghavi"
Biomimetics,BIOE70012,Spring,"Mankind has always mimicked nature. Fishing nets, aeroplane wings, sonar, computer viruses, and artificial intelligence are just a few of a long list of examples where nature has inspired technological applications. But many functional principles developed during evolution still remain to be discovered. Understanding these principles may help scientists and engineers to solve outstanding technological problems.Biomimetics is a new interdisciplinary field that is quickly growing and seeks to explore, appreciate, and make use of nature's solutions at different organizational scales ranging from molecular to systems levels. The aim of this course is to offer an introduction to biomimetics as an inspiration for novel emerging technologies.","Upon successful completion of this module, you will be able to:&nbsp;Describe the scope of biomimeticsDiscuss the specific material described in the SyllabusCompare approaches of nature and engineering to develop optimal and robust designsIdentify constraints in natural and engineering designJudge if a natural solution is the optimal solutionExplain how both biological and engineering problems can be understood at different levels of organization: function (or purpose), algorithm, and implementation.&nbsp;Appraise scientific papers in the field of biomimeticsEvaluate complex data, draw conclusions and communicate these conclusions clearly to others"," Introduction to biomimetics.Information and molecular biomimetics.Biomimetic materials, biological and bio-inspired adhesives.Senses and sensors: audio, electric field detection in nature and technological applications; structural colour and its applications, natural and computer vision, parallels between neuroscience and AI. ",Basic mathematical skills and physical understanding assumed. Students need to be familiar with simple energy methods.,"Andriy Kozlov, David Labonte"
Brain Machine Interfaces,BIOE70011,Spring,"In this module you will be introduced to a technology that is no longer the domain of science fiction, but has become science and is partially used already in clinical settings: the interfacing of the human brain to electronic circuitry. The course will emphasize currently developed and used technologies such as brain-machine interfaces (e.g. for the restoration of movement and communication capabilities of paralyzed patients) and deep-brain stimulation (such as for treatment of Parkinson`s disease).",Upon successful completion of this module you will be able to:Categorise different brain-machine interfaces by their purposeCompare different technologies for recording neuronal signals from the brainAppraise recently published papers on brain-machine interfacesEvaluate algorithms for classification and regression to decode neuronal signalsConstruct &nbsp;code to perform basic analysis and decoding of neurophysiological data in MATLABOperate as a group in a task to analyse brain signals," Introduction to neuroscience and brain-machine interfaces (BMIs)Physiology and anatomy of the brain and the nervous systemMotivations for BMI development and examples of current usesBrain-machine interfaces for movement control and communicationBMI training strategies for paralyzed patientsAlternative recording technologies such as electrocorticography (ECoG), electro- and magnetoencephalography (EEG&amp;MEG) and their advantages and limitationsTheory of BMI decoders including common filtersElectrodes for BMIs with discussion of advantages and disadvantages of common electrodesRead-out of non-motor functions from brain activity with practical examples drawn from the literatureDeep brain stimulation (DBS) and its use to treat diseases such as Parkinson`s disease ","Basic linear algebra: vector operations (vector sum, scalar product etc.), matrix and matrix-vector multiplication, matrix inversionBasic calculus: differentiation, integration, difference equations, differential equationsBasics of probability theory: random variables, probabilities, probability distributions, joint, marginal and conditional probabilities, &nbsp;Gaussian distribution, stochastic processesBasics of Matlab programming: variables, conditional expressions (e.g. if-then-else), loops (e.g. for, while), functions, basic mathematical expressions (e.g. vector and matrix operations, trigonometric functions), basic graphics","Claudia Clopath, Laki Pantazis"
BSc Biomedical Technology Ventures Year  2 Summer Internship,BIOE50015,Summer,,, ,N/A,N/A
Cancer Technology Research Project,BIOE70052,"Autumn,Spring,Summer",This module is the main research component of the MRes in Cancer Technology Programme. You will conduct a multi-term research project run at the interface of bioengineering and cancer under the supervision of academics at Imperial College and the Institute of Cancer Research. You will gain practical experience developing and deploying bioengineering tools and principles for understanding and managing cancer.,"Upon successful completion of this module, you will be able to:Apply theoretical knowledge to practical situations with due consideration of the limitations of theoretical modelsFormulate and develop a bioengineering solution to a problem in the cancer research fieldCritically select appropriate laboratory instrumentation and\/or methods, workshop equipment or computational tools and show you can you these correctly and safelyCommunicate the progress and outcomes of project work effectively and accurately, using technical information where relevant both orally and in written formPlan and manage work over several months, meeting deadlines and working within other externally defined constraintsCritically evaluate your project outcome and take personal responsibility for the quality of your work", Your Research Project is an important part of the programme. Projects give you an opportunity to build on the knowledge and skills you have developed in your taught modules and apply this to current problems in the field of cancer research.&nbsp;The technical content of this module will be dependent on your project choice and may be linked to a taught module or more closely linked to the research of an academic member of staff. Depending on your project choice you may receive some lab-based training under the direction of a research group. ,N/A,Sam Au
